specimen,CST I-A,CST I-B,CST II,CST III-A,CST III-B,CST IV-A,CST IV-B,CST IV-C0,CST IV-C2,CST IV-C4,CST V
D00044-01,1,0,0,0,0,0,0,0,0,0,0
D00046-01,1,0,0,0,0,0,0,0,0,0,0
D00049-01,0,0,0,1,0,0,0,0,0,0,0
D00050-02,0,0,0,1,0,0,0,0,0,0,0
D00051-05,0,0,0,1,0,0,0,0,0,0,0
D00052-02,0,0,0,0,1,0,0,0,0,0,0
D00053-02,0,0,0,1,0,0,0,0,0,0,0
D00054-01,1,0,0,0,0,0,0,0,0,0,0
D00054-02,0,0,0,0,0,0,0,1,0,0,0
D00054-03,0,0,0,0,0,0,0,1,0,0,0
D00054-04,0,0,0,0,0,0,0,1,0,0,0
D00054-05,0,0,0,0,0,0,0,1,0,0,0
D00056-01,0,0,0,1,0,0,0,0,0,0,0
D00056-02,0,0,0,0,1,0,0,0,0,0,0
D00056-03,0,0,0,1,0,0,0,0,0,0,0
D00057-01,0,0,0,0,1,0,0,0,0,0,0
D00057-02,0,0,0,1,0,0,0,0,0,0,0
D00058-03,0,0,0,0,0,0,1,0,0,0,0
D00059-01,0,0,0,0,0,0,1,0,0,0,0
D00059-02,0,0,0,0,0,0,1,0,0,0,0
D00060-04,1,0,0,0,0,0,0,0,0,0,0
D00061-01,0,0,0,0,0,0,0,0,0,0,1
D00061-02,0,0,0,0,0,0,0,0,0,0,1
D00061-04,0,0,0,0,1,0,0,0,0,0,0
D00062-03,0,1,0,0,0,0,0,0,0,0,0
D00066-02,0,0,0,0,0,0,0,0,0,0,1
D00067-01,1,0,0,0,0,0,0,0,0,0,0
D00067-04,1,0,0,0,0,0,0,0,0,0,0
D00069-01,1,0,0,0,0,0,0,0,0,0,0
D00071-02,1,0,0,0,0,0,0,0,0,0,0
D00071-04,1,0,0,0,0,0,0,0,0,0,0
D00073-01,0,0,0,0,1,0,0,0,0,0,0
D00073-03,0,1,0,0,0,0,0,0,0,0,0
D00074-02,0,0,0,1,0,0,0,0,0,0,0
D00075-01,0,0,0,1,0,0,0,0,0,0,0
D00075-02,0,0,0,0,1,0,0,0,0,0,0
D00075-03,0,0,0,0,1,0,0,0,0,0,0
D00076-03,0,0,0,0,0,0,0,0,0,0,1
D00076-05,0,0,0,0,0,0,0,0,0,0,1
D00077-01,0,0,0,0,1,0,0,0,0,0,0
D00078-04,1,0,0,0,0,0,0,0,0,0,0
D00080-01,0,1,0,0,0,0,0,0,0,0,0
D00080-02,1,0,0,0,0,0,0,0,0,0,0
D00080-03,1,0,0,0,0,0,0,0,0,0,0
D00080-04,0,1,0,0,0,0,0,0,0,0,0
D00081-01,0,0,1,0,0,0,0,0,0,0,0
D00081-02,0,0,1,0,0,0,0,0,0,0,0
D00082-02,0,0,0,1,0,0,0,0,0,0,0
D00082-03,0,0,0,1,0,0,0,0,0,0,0
D00084-01,1,0,0,0,0,0,0,0,0,0,0
D00084-02,1,0,0,0,0,0,0,0,0,0,0
D00084-03,1,0,0,0,0,0,0,0,0,0,0
D00085-01,1,0,0,0,0,0,0,0,0,0,0
D00086-04,0,0,0,1,0,0,0,0,0,0,0
D00088-01,0,0,1,0,0,0,0,0,0,0,0
D00088-02,0,0,1,0,0,0,0,0,0,0,0
D00088-03,0,0,1,0,0,0,0,0,0,0,0
D00088-04,0,0,1,0,0,0,0,0,0,0,0
D00092-01,1,0,0,0,0,0,0,0,0,0,0
D00092-02,1,0,0,0,0,0,0,0,0,0,0
D00093-01,1,0,0,0,0,0,0,0,0,0,0
D00094-01,1,0,0,0,0,0,0,0,0,0,0
D00095-02,0,0,0,0,0,0,0,0,0,0,1
D00095-03,0,0,0,0,0,0,0,0,0,0,1
D00096-01,0,0,0,0,0,0,0,0,0,0,1
D00096-02,0,0,0,0,0,0,0,0,0,0,1
D00097-01,0,0,0,0,1,0,0,0,0,0,0
D00097-02,0,0,0,0,1,0,0,0,0,0,0
D00098-02,0,0,1,0,0,0,0,0,0,0,0
D00098-03,0,0,1,0,0,0,0,0,0,0,0
D00098-04,0,0,1,0,0,0,0,0,0,0,0
E00001-02,1,0,0,0,0,0,0,0,0,0,0
E00002-02,1,0,0,0,0,0,0,0,0,0,0
E00005-01,1,0,0,0,0,0,0,0,0,0,0
E00005-02,1,0,0,0,0,0,0,0,0,0,0
E00005-03,1,0,0,0,0,0,0,0,0,0,0
E00005-04,1,0,0,0,0,0,0,0,0,0,0
E00006-07,1,0,0,0,0,0,0,0,0,0,0
E00007-01,1,0,0,0,0,0,0,0,0,0,0
E00007-04,1,0,0,0,0,0,0,0,0,0,0
E00008-03,1,0,0,0,0,0,0,0,0,0,0
E00008-04,1,0,0,0,0,0,0,0,0,0,0
E00009-01,1,0,0,0,0,0,0,0,0,0,0
E00009-02,1,0,0,0,0,0,0,0,0,0,0
E00009-03,1,0,0,0,0,0,0,0,0,0,0
E00009-04,1,0,0,0,0,0,0,0,0,0,0
E00009-06,1,0,0,0,0,0,0,0,0,0,0
E00009-07,1,0,0,0,0,0,0,0,0,0,0
E00010-05,1,0,0,0,0,0,0,0,0,0,0
E00010-06,1,0,0,0,0,0,0,0,0,0,0
E00012-02,1,0,0,0,0,0,0,0,0,0,0
E00012-03,1,0,0,0,0,0,0,0,0,0,0
E00012-05,1,0,0,0,0,0,0,0,0,0,0
E00013-01,1,0,0,0,0,0,0,0,0,0,0
E00013-02,0,0,0,0,0,0,0,1,0,0,0
E00013-03,1,0,0,0,0,0,0,0,0,0,0
E00013-04,1,0,0,0,0,0,0,0,0,0,0
E00014-01,1,0,0,0,0,0,0,0,0,0,0
E00014-06,1,0,0,0,0,0,0,0,0,0,0
E00015-01,1,0,0,0,0,0,0,0,0,0,0
E00015-05,1,0,0,0,0,0,0,0,0,0,0
E00016-02,1,0,0,0,0,0,0,0,0,0,0
E00017-02,1,0,0,0,0,0,0,0,0,0,0
E00017-03,1,0,0,0,0,0,0,0,0,0,0
E00017-04,1,0,0,0,0,0,0,0,0,0,0
E00017-05,1,0,0,0,0,0,0,0,0,0,0
E00018-01,1,0,0,0,0,0,0,0,0,0,0
E00019-01,1,0,0,0,0,0,0,0,0,0,0
E00019-03,1,0,0,0,0,0,0,0,0,0,0
E00020-01,1,0,0,0,0,0,0,0,0,0,0
E00020-02,1,0,0,0,0,0,0,0,0,0,0
E00020-03,1,0,0,0,0,0,0,0,0,0,0
E00020-04,1,0,0,0,0,0,0,0,0,0,0
E00020-05,1,0,0,0,0,0,0,0,0,0,0
E00021-01,1,0,0,0,0,0,0,0,0,0,0
E00021-02,1,0,0,0,0,0,0,0,0,0,0
E00021-03,1,0,0,0,0,0,0,0,0,0,0
E00021-04,1,0,0,0,0,0,0,0,0,0,0
E00022-01,1,0,0,0,0,0,0,0,0,0,0
E00022-06,0,0,0,0,0,0,0,1,0,0,0
E00023-01,1,0,0,0,0,0,0,0,0,0,0
E00023-03,1,0,0,0,0,0,0,0,0,0,0
E00023-04,1,0,0,0,0,0,0,0,0,0,0
E00023-05,1,0,0,0,0,0,0,0,0,0,0
E00024-01,0,0,1,0,0,0,0,0,0,0,0
E00024-02,1,0,0,0,0,0,0,0,0,0,0
E00024-03,1,0,0,0,0,0,0,0,0,0,0
E00024-04,1,0,0,0,0,0,0,0,0,0,0
E00024-06,1,0,0,0,0,0,0,0,0,0,0
E00024-07,1,0,0,0,0,0,0,0,0,0,0
E00025-01,1,0,0,0,0,0,0,0,0,0,0
E00025-03,1,0,0,0,0,0,0,0,0,0,0
E00026-01,1,0,0,0,0,0,0,0,0,0,0
E00026-02,1,0,0,0,0,0,0,0,0,0,0
E00026-04,1,0,0,0,0,0,0,0,0,0,0
E00026-05,1,0,0,0,0,0,0,0,0,0,0
E00027-01,1,0,0,0,0,0,0,0,0,0,0
E00027-02,1,0,0,0,0,0,0,0,0,0,0
E00027-04,1,0,0,0,0,0,0,0,0,0,0
E00027-06,1,0,0,0,0,0,0,0,0,0,0
E00028-01,1,0,0,0,0,0,0,0,0,0,0
E00028-02,1,0,0,0,0,0,0,0,0,0,0
E00029-03,1,0,0,0,0,0,0,0,0,0,0
E00029-04,1,0,0,0,0,0,0,0,0,0,0
E00030-02,1,0,0,0,0,0,0,0,0,0,0
E00030-04,1,0,0,0,0,0,0,0,0,0,0
E00030-05,1,0,0,0,0,0,0,0,0,0,0
E00030-06,1,0,0,0,0,0,0,0,0,0,0
E00031-02,1,0,0,0,0,0,0,0,0,0,0
E00032-01,1,0,0,0,0,0,0,0,0,0,0
E00032-02,1,0,0,0,0,0,0,0,0,0,0
E00032-03,1,0,0,0,0,0,0,0,0,0,0
E00032-04,1,0,0,0,0,0,0,0,0,0,0
E00032-05,1,0,0,0,0,0,0,0,0,0,0
E00033-02,1,0,0,0,0,0,0,0,0,0,0
E00033-03,1,0,0,0,0,0,0,0,0,0,0
E00034-01,1,0,0,0,0,0,0,0,0,0,0
E00034-02,1,0,0,0,0,0,0,0,0,0,0
E00034-05,1,0,0,0,0,0,0,0,0,0,0
E00035-01,1,0,0,0,0,0,0,0,0,0,0
E00035-02,1,0,0,0,0,0,0,0,0,0,0
E00035-03,1,0,0,0,0,0,0,0,0,0,0
E00036-01,1,0,0,0,0,0,0,0,0,0,0
E00036-02,1,0,0,0,0,0,0,0,0,0,0
E00036-04,1,0,0,0,0,0,0,0,0,0,0
E00037-01,0,0,0,0,0,0,0,1,0,0,0
E00037-02,1,0,0,0,0,0,0,0,0,0,0
E00037-03,1,0,0,0,0,0,0,0,0,0,0
E00038-02,1,0,0,0,0,0,0,0,0,0,0
E00039-01,0,0,0,0,0,0,0,0,1,0,0
E00039-02,1,0,0,0,0,0,0,0,0,0,0
E00039-03,1,0,0,0,0,0,0,0,0,0,0
E00039-04,1,0,0,0,0,0,0,0,0,0,0
E00040-02,1,0,0,0,0,0,0,0,0,0,0
E00040-04,1,0,0,0,0,0,0,0,0,0,0
E00041-02,1,0,0,0,0,0,0,0,0,0,0
E00041-03,1,0,0,0,0,0,0,0,0,0,0
E00041-04,1,0,0,0,0,0,0,0,0,0,0
E00041-05,1,0,0,0,0,0,0,0,0,0,0
E00042-01,1,0,0,0,0,0,0,0,0,0,0
E00042-02,1,0,0,0,0,0,0,0,0,0,0
E00042-03,1,0,0,0,0,0,0,0,0,0,0
E00044-01,1,0,0,0,0,0,0,0,0,0,0
E00048-01,1,0,0,0,0,0,0,0,0,0,0
E00049-01,1,0,0,0,0,0,0,0,0,0,0
E00049-02,1,0,0,0,0,0,0,0,0,0,0
E00050-01,1,0,0,0,0,0,0,0,0,0,0
E00050-02,1,0,0,0,0,0,0,0,0,0,0
E00052-01,1,0,0,0,0,0,0,0,0,0,0
E00053-01,1,0,0,0,0,0,0,0,0,0,0
E00056-01,1,0,0,0,0,0,0,0,0,0,0
E00057-01,1,0,0,0,0,0,0,0,0,0,0
E00059-05,1,0,0,0,0,0,0,0,0,0,0
E00060-01,1,0,0,0,0,0,0,0,0,0,0
E00060-02,1,0,0,0,0,0,0,0,0,0,0
E00061-02,1,0,0,0,0,0,0,0,0,0,0
E00062-02,1,0,0,0,0,0,0,0,0,0,0
E00062-03,1,0,0,0,0,0,0,0,0,0,0
E00064-01,1,0,0,0,0,0,0,0,0,0,0
E00065-04,1,0,0,0,0,0,0,0,0,0,0
E00066-05,1,0,0,0,0,0,0,0,0,0,0
E00068-02,1,0,0,0,0,0,0,0,0,0,0
E00069-05,1,0,0,0,0,0,0,0,0,0,0
E00069-06,1,0,0,0,0,0,0,0,0,0,0
E00069-07,1,0,0,0,0,0,0,0,0,0,0
E00069-08,1,0,0,0,0,0,0,0,0,0,0
E00071-02,1,0,0,0,0,0,0,0,0,0,0
E00071-03,1,0,0,0,0,0,0,0,0,0,0
E00075-02,1,0,0,0,0,0,0,0,0,0,0
E00075-03,1,0,0,0,0,0,0,0,0,0,0
E00076-01,1,0,0,0,0,0,0,0,0,0,0
E00077-02,1,0,0,0,0,0,0,0,0,0,0
E00078-03,1,0,0,0,0,0,0,0,0,0,0
E00079-01,1,0,0,0,0,0,0,0,0,0,0
E00080-02,1,0,0,0,0,0,0,0,0,0,0
E00080-03,1,0,0,0,0,0,0,0,0,0,0
E00081-01,1,0,0,0,0,0,0,0,0,0,0
E00082-01,1,0,0,0,0,0,0,0,0,0,0
E00083-01,1,0,0,0,0,0,0,0,0,0,0
E00083-02,1,0,0,0,0,0,0,0,0,0,0
E00083-03,1,0,0,0,0,0,0,0,0,0,0
E00083-06,1,0,0,0,0,0,0,0,0,0,0
E00084-01,1,0,0,0,0,0,0,0,0,0,0
E00084-02,1,0,0,0,0,0,0,0,0,0,0
E00084-03,1,0,0,0,0,0,0,0,0,0,0
E00085-01,1,0,0,0,0,0,0,0,0,0,0
E00085-02,1,0,0,0,0,0,0,0,0,0,0
E00085-03,1,0,0,0,0,0,0,0,0,0,0
E00086-02,1,0,0,0,0,0,0,0,0,0,0
E00087-03,1,0,0,0,0,0,0,0,0,0,0
E00087-04,1,0,0,0,0,0,0,0,0,0,0
E00087-05,1,0,0,0,0,0,0,0,0,0,0
E00087-07,0,0,0,0,0,0,0,1,0,0,0
E00088-01,1,0,0,0,0,0,0,0,0,0,0
E00089-01,1,0,0,0,0,0,0,0,0,0,0
E00090-01,1,0,0,0,0,0,0,0,0,0,0
E00090-02,1,0,0,0,0,0,0,0,0,0,0
E00090-03,1,0,0,0,0,0,0,0,0,0,0
E00090-04,1,0,0,0,0,0,0,0,0,0,0
F00001-01,1,0,0,0,0,0,0,0,0,0,0
F00002-01,0,0,0,0,0,0,0,1,0,0,0
F00003-01,0,0,0,0,0,0,0,1,0,0,0
F00003-02,0,0,0,0,0,0,0,1,0,0,0
F00003-03,1,0,0,0,0,0,0,0,0,0,0
F00004-01,0,0,0,0,0,1,0,0,0,0,0
F00004-02,0,0,0,0,0,0,0,1,0,0,0
F00005-01,1,0,0,0,0,0,0,0,0,0,0
F00005-02,0,0,0,0,0,0,0,1,0,0,0
F00006-01,0,0,0,0,0,0,0,1,0,0,0
F00006-02,1,0,0,0,0,0,0,0,0,0,0
F00006-03,0,0,0,0,0,0,0,0,0,1,0
F00007-01,0,0,0,0,0,0,0,1,0,0,0
F00007-02,0,0,0,0,0,0,0,1,0,0,0
F00007-03,0,0,0,0,0,0,0,1,0,0,0
F00008-01,0,0,0,0,0,1,0,0,0,0,0
F00008-02,1,0,0,0,0,0,0,0,0,0,0
F00008-03,1,0,0,0,0,0,0,0,0,0,0
F00009-01,0,0,0,0,0,0,0,1,0,0,0
F00009-02,0,0,0,0,0,0,0,0,0,0,1
F00009-03,1,0,0,0,0,0,0,0,0,0,0
F00010-01,0,0,0,0,0,0,0,1,0,0,0
F00010-02,1,0,0,0,0,0,0,0,0,0,0
F00011-01,0,0,0,0,0,0,0,1,0,0,0
F00011-02,1,0,0,0,0,0,0,0,0,0,0
F00012-01,0,0,0,0,0,0,0,1,0,0,0
F00013-01,1,0,0,0,0,0,0,0,0,0,0
F00013-02,0,0,0,0,0,1,0,0,0,0,0
F00014-01,0,0,0,0,0,0,0,1,0,0,0
F00014-02,0,0,0,0,0,0,0,0,1,0,0
F00015-01,1,0,0,0,0,0,0,0,0,0,0
F00016-01,0,0,0,0,0,0,0,1,0,0,0
F00016-02,1,0,0,0,0,0,0,0,0,0,0
F00017-01,0,0,0,0,0,0,1,0,0,0,0
F00017-02,1,0,0,0,0,0,0,0,0,0,0
F00017-03,0,0,0,0,0,0,0,1,0,0,0
F00018-01,0,0,0,0,0,0,0,1,0,0,0
F00018-02,0,0,0,0,0,0,0,1,0,0,0
F00019-01,0,0,0,0,0,0,0,1,0,0,0
F00019-02,0,0,0,0,0,0,0,1,0,0,0
F00019-03,0,0,0,0,0,0,0,1,0,0,0
F00020-01,0,0,0,0,0,1,0,0,0,0,0
F00020-02,0,0,0,0,0,0,0,1,0,0,0
F00021-01,0,0,0,0,0,0,0,1,0,0,0
F00021-02,0,0,0,0,0,0,0,1,0,0,0
F00021-03,0,0,0,0,0,0,0,1,0,0,0
F00022-01,0,0,0,0,0,0,0,1,0,0,0
F00022-02,0,0,0,0,0,0,0,0,0,1,0
F00023-01,0,0,0,0,0,0,0,1,0,0,0
F00023-02,0,1,0,0,0,0,0,0,0,0,0
F00024-01,0,0,0,0,0,0,0,1,0,0,0
F00024-02,0,0,0,0,0,0,0,0,0,0,1
F00025-01,0,0,0,0,0,0,0,1,0,0,0
F00025-02,0,0,0,0,0,0,0,1,0,0,0
F00025-03,0,0,0,0,0,0,0,1,0,0,0
F00026-01,0,0,0,0,0,0,0,1,0,0,0
F00026-02,1,0,0,0,0,0,0,0,0,0,0
F00026-03,0,0,0,0,0,0,0,1,0,0,0
F00027-01,0,0,0,0,0,0,0,1,0,0,0
F00027-02,0,0,0,0,0,0,0,1,0,0,0
F00028-01,0,0,0,0,0,0,0,1,0,0,0
F00028-02,0,0,0,0,0,0,0,1,0,0,0
F00028-03,0,0,0,0,0,0,0,1,0,0,0
F00029-01,1,0,0,0,0,0,0,0,0,0,0
F00029-02,1,0,0,0,0,0,0,0,0,0,0
F00030-01,0,0,0,0,0,0,0,0,0,0,1
F00030-02,0,0,0,0,0,0,0,1,0,0,0
F00031-01,0,0,0,0,0,0,0,1,0,0,0
F00031-02,1,0,0,0,0,0,0,0,0,0,0
F00032-01,0,0,0,0,0,0,0,1,0,0,0
F00032-02,0,0,0,0,0,0,0,1,0,0,0
F00032-03,0,0,0,0,0,0,0,0,1,0,0
F00033-01,0,0,0,0,0,0,0,0,0,0,1
F00034-01,0,0,0,0,0,0,0,0,0,0,1
F00035-01,0,0,0,0,0,0,0,1,0,0,0
F00035-02,1,0,0,0,0,0,0,0,0,0,0
F00036-01,0,0,0,0,0,0,0,1,0,0,0
F00036-02,0,0,0,0,0,0,0,1,0,0,0
F00036-03,1,0,0,0,0,0,0,0,0,0,0
F00037-01,0,0,0,0,0,1,0,0,0,0,0
F00037-02,0,0,0,0,0,0,0,0,0,0,1
F00037-03,0,0,0,0,0,0,0,1,0,0,0
F00038-01,0,0,0,0,0,0,0,1,0,0,0
F00038-02,0,0,0,0,0,0,0,1,0,0,0
F00038-03,1,0,0,0,0,0,0,0,0,0,0
F00039-01,0,0,0,0,0,0,0,1,0,0,0
F00039-02,0,0,0,0,0,0,0,1,0,0,0
F00040-01,0,0,0,0,0,0,0,1,0,0,0
F00040-02,0,0,0,0,0,0,0,0,0,1,0
F00041-01,0,0,0,0,0,0,0,1,0,0,0
F00041-02,0,0,0,0,0,0,0,0,0,1,0
F00042-01,0,0,0,0,0,0,0,1,0,0,0
F00042-02,0,0,0,0,0,0,0,0,0,0,1
F00043-01,0,0,0,0,0,0,0,0,0,0,1
F00043-02,1,0,0,0,0,0,0,0,0,0,0
F00044-01,0,0,0,0,0,0,0,0,0,0,1
F00045-01,0,0,0,0,0,0,0,1,0,0,0
F00046-01,1,0,0,0,0,0,0,0,0,0,0
F00046-02,1,0,0,0,0,0,0,0,0,0,0
F00047-01,1,0,0,0,0,0,0,0,0,0,0
F00047-02,1,0,0,0,0,0,0,0,0,0,0
F00047-03,1,0,0,0,0,0,0,0,0,0,0
F00048-01,0,0,0,0,0,0,0,1,0,0,0
F00048-02,0,0,0,0,0,0,0,1,0,0,0
F00049-01,0,0,0,0,0,0,0,1,0,0,0
F00049-02,0,1,0,0,0,0,0,0,0,0,0
F00050-01,0,0,0,0,0,0,0,0,0,1,0
F00050-02,0,0,0,0,0,0,0,0,0,0,1
F00051-01,0,0,0,0,0,1,0,0,0,0,0
F00051-02,0,0,0,0,0,0,0,1,0,0,0
F00052-01,0,0,1,0,0,0,0,0,0,0,0
F00052-02,0,0,0,0,0,0,0,1,0,0,0
F00053-01,0,0,0,0,0,0,0,0,1,0,0
F00053-02,0,0,0,0,0,0,0,1,0,0,0
F00053-03,0,0,0,0,0,0,0,1,0,0,0
F00054-01,0,0,0,0,0,0,0,1,0,0,0
F00054-02,1,0,0,0,0,0,0,0,0,0,0
F00055-01,0,0,0,0,0,0,0,0,0,0,1
F00055-02,1,0,0,0,0,0,0,0,0,0,0
F00056-01,0,0,0,0,0,0,0,1,0,0,0
F00057-01,0,0,0,0,0,0,0,0,0,0,1
F00057-02,0,0,0,0,0,0,0,1,0,0,0
F00057-03,0,0,0,0,0,0,0,0,0,0,1
F00058-01,0,0,0,0,0,0,0,1,0,0,0
F00058-02,0,0,0,0,0,0,0,1,0,0,0
F00059-01,0,0,1,0,0,0,0,0,0,0,0
F00059-02,0,0,0,0,0,0,0,1,0,0,0
F00060-01,0,0,0,0,0,0,0,0,0,0,1
F00060-02,0,0,0,0,0,0,0,1,0,0,0
F00061-01,0,0,0,0,0,0,0,1,0,0,0
F00061-02,0,0,0,0,0,0,0,1,0,0,0
F00062-01,0,0,0,0,0,0,0,1,0,0,0
F00063-01,1,0,0,0,0,0,0,0,0,0,0
F00064-01,0,0,0,0,0,0,0,1,0,0,0
F00065-01,0,0,0,0,0,0,0,1,0,0,0
F00066-01,0,0,0,0,0,0,0,1,0,0,0
F00067-01,0,0,0,0,0,0,0,1,0,0,0
F00067-02,0,0,0,0,0,0,0,0,0,0,1
F00068-01,0,0,0,0,0,0,0,0,0,0,1
F00069-01,0,0,0,0,0,0,0,1,0,0,0
F00070-01,0,0,0,0,0,0,0,1,0,0,0
F00071-01,0,0,0,0,0,0,0,0,0,0,1
F00072-01,1,0,0,0,0,0,0,0,0,0,0
F00073-01,0,0,0,0,0,0,0,0,1,0,0
F00074-01,0,0,0,0,0,0,0,0,0,0,1
G00001-01,0,0,0,0,0,0,0,1,0,0,0
G00001-02,0,0,0,0,1,0,0,0,0,0,0
G00001-03,0,0,0,0,0,0,1,0,0,0,0
G00001-04,0,0,0,0,1,0,0,0,0,0,0
G00001-05,0,0,0,0,0,0,1,0,0,0,0
G00001-07,0,0,0,0,0,0,0,1,0,0,0
G00001-08,0,0,0,0,0,0,1,0,0,0,0
G00001-09,0,0,0,0,0,0,0,1,0,0,0
G00001-10,0,0,0,0,1,0,0,0,0,0,0
G00001-11,0,0,0,0,1,0,0,0,0,0,0
G00001-12,0,0,0,0,0,0,1,0,0,0,0
G00001-13,0,0,0,0,0,0,0,1,0,0,0
G00002-04,0,0,0,0,0,0,0,1,0,0,0
G00002-05,0,0,0,0,0,0,0,1,0,0,0
G00002-08,0,0,0,0,0,0,1,0,0,0,0
G00002-09,0,0,0,0,0,0,1,0,0,0,0
G00002-11,0,0,0,0,0,0,0,1,0,0,0
G00002-12,0,0,0,0,0,0,1,0,0,0,0
G00002-13,0,0,0,0,0,0,0,1,0,0,0
G00002-15,0,0,0,0,0,0,1,0,0,0,0
G00003-03,0,0,0,1,0,0,0,0,0,0,0
G00003-04,0,0,0,1,0,0,0,0,0,0,0
G00003-06,0,0,0,0,1,0,0,0,0,0,0
G00004-01,0,0,0,1,0,0,0,0,0,0,0
G00004-03,0,0,0,0,0,1,0,0,0,0,0
G00004-06,0,0,0,0,0,1,0,0,0,0,0
G00004-08,0,0,0,0,0,1,0,0,0,0,0
G00004-09,0,0,0,0,0,0,0,0,0,0,1
G00004-11,0,0,0,0,0,1,0,0,0,0,0
G00004-13,0,0,0,0,0,1,0,0,0,0,0
G00004-15,0,0,0,0,0,1,0,0,0,0,0
G00004-18,0,0,0,0,0,1,0,0,0,0,0
G00004-21,0,0,0,0,0,0,0,0,0,0,1
G00005-02,0,0,0,0,1,0,0,0,0,0,0
G00005-04,0,0,0,0,0,0,0,1,0,0,0
G00005-05,0,0,0,0,0,1,0,0,0,0,0
G00005-06,0,0,0,0,0,0,0,0,0,0,1
G00005-07,0,0,0,0,0,0,0,0,0,0,1
G00005-09,0,0,0,0,0,0,0,1,0,0,0
G00005-10,0,0,0,0,0,0,0,1,0,0,0
G00005-11,0,0,0,0,0,0,0,1,0,0,0
G00005-12,0,0,0,0,0,0,0,1,0,0,0
G00005-16,0,0,0,0,0,1,0,0,0,0,0
G00005-17,0,0,0,0,0,0,0,1,0,0,0
G00005-18,0,0,0,0,0,1,0,0,0,0,0
G00005-19,0,0,0,0,0,1,0,0,0,0,0
G00006-01,1,0,0,0,0,0,0,0,0,0,0
G00006-02,0,0,0,0,0,0,0,1,0,0,0
G00006-03,0,0,0,0,0,0,0,1,0,0,0
G00006-04,1,0,0,0,0,0,0,0,0,0,0
G00006-05,0,0,0,0,0,0,0,1,0,0,0
G00006-06,0,1,0,0,0,0,0,0,0,0,0
G00006-07,0,0,0,0,0,0,0,1,0,0,0
G00006-08,0,1,0,0,0,0,0,0,0,0,0
G00006-09,0,1,0,0,0,0,0,0,0,0,0
G00006-10,0,0,0,0,0,0,0,1,0,0,0
G00006-11,0,0,0,0,0,0,0,1,0,0,0
G00006-12,0,0,0,0,0,0,0,1,0,0,0
G00006-13,0,0,0,0,1,0,0,0,0,0,0
G00006-14,1,0,0,0,0,0,0,0,0,0,0
G00006-15,0,1,0,0,0,0,0,0,0,0,0
G00006-17,0,1,0,0,0,0,0,0,0,0,0
G00006-18,0,0,0,0,0,0,0,1,0,0,0
G00006-19,0,0,0,0,0,0,0,1,0,0,0
G00007-01,0,0,0,0,0,0,0,1,0,0,0
G00007-02,0,0,0,0,0,1,0,0,0,0,0
G00007-03,0,0,0,0,0,0,1,0,0,0,0
G00007-04,0,0,0,0,0,1,0,0,0,0,0
G00007-05,0,0,0,0,0,0,1,0,0,0,0
G00007-06,0,0,0,0,0,1,0,0,0,0,0
G00007-07,0,0,0,0,0,0,1,0,0,0,0
G00007-08,0,0,0,0,0,0,0,1,0,0,0
G00007-09,0,0,0,0,0,1,0,0,0,0,0
G00007-10,0,0,0,0,0,1,0,0,0,0,0
G00007-11,0,0,0,0,0,0,1,0,0,0,0
G00008-02,1,0,0,0,0,0,0,0,0,0,0
G00008-06,1,0,0,0,0,0,0,0,0,0,0
G00008-08,0,0,0,1,0,0,0,0,0,0,0
G00008-10,0,0,0,0,1,0,0,0,0,0,0
G00008-11,0,0,0,0,1,0,0,0,0,0,0
G00008-12,0,1,0,0,0,0,0,0,0,0,0
G00008-13,0,1,0,0,0,0,0,0,0,0,0
G00008-15,0,1,0,0,0,0,0,0,0,0,0
G00008-16,0,1,0,0,0,0,0,0,0,0,0
G00008-18,1,0,0,0,0,0,0,0,0,0,0
G00008-21,0,1,0,0,0,0,0,0,0,0,0
G00008-23,0,1,0,0,0,0,0,0,0,0,0
G00008-24,1,0,0,0,0,0,0,0,0,0,0
G00009-01,0,0,0,0,0,1,0,0,0,0,0
G00009-02,0,0,0,0,0,0,0,1,0,0,0
